amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-0705936-6224634		2022-01-25T17:49:27+09:00	2022-01-26T15:06:36+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型	7Y-BBJC-HSZ5	B075HKDBLX	Shipped	1	JPY	428.0	39.0								東京都	152-0002	JP	
249-8206940-0976641	249-8206940-0976641	2022-01-25T16:53:15+09:00	2022-01-27T05:44:17+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	L3-JQ85-GRB6	B07ZDDNJXQ	Shipped	1	JPY	2480.0	225.0								愛知県	465-0044	JP	
249-8206940-0976641	249-8206940-0976641	2022-01-25T16:53:15+09:00	2022-01-27T05:44:17+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	K9-Y27N-DG0Z	B07ZDDP87D	Shipped	1	JPY	2480.0	225.0								愛知県	465-0044	JP	
250-0067649-0025449	250-0067649-0025449	2022-01-25T15:40:57+09:00	2022-01-27T12:34:22+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	UT-1YAF-6G6B	B07STZSQF2	Shipped	1	JPY	1280.0	116.0	205.0	19.0				205.0		埼玉県	336-0926	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-3269526-6529426	250-3269526-6529426	2022-01-25T14:21:53+09:00	2022-01-26T01:59:22+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY	Shipped	1	JPY	1280.0	116.0								神奈川県	248-0017	JP	
250-7025069-2743047	250-7025069-2743047	2022-01-25T10:48:39+09:00	2022-01-25T16:23:45+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (XL:18 	RD-N19Y-ZKZI	B08L4KJDDL	Shipped	1	JPY	1280.0	116.0								東京都	161-0034	JP	
503-9648892-7468600	503-9648892-7468600	2022-01-25T10:30:00+09:00	2022-01-25T17:14:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	C8-VY3A-HL06	B07RRJ5TNV	Shipped	1	JPY	1480.0	135.0								埼玉県	359-1151	JP	
249-7921890-5948657	249-7921890-5948657	2022-01-25T08:30:01+09:00	2022-01-26T00:42:32+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV	Shipped	1	JPY	1280.0	116.0								山梨県	400-0004	JP	
249-9147110-6670252	249-9147110-6670252	2022-01-25T07:11:23+09:00	2022-01-25T18:04:05+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1480.0	135.0								神奈川県	252-0231	JP	
250-0274160-8339019	250-0274160-8339019	2022-01-25T00:48:56+09:00	2022-01-26T12:23:32+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY	Shipped	1	JPY	1280.0	116.0	519.0	45.0					La Puente	CALIFORNIA	91746	US	
250-5941265-7056616	250-5941265-7056616	2022-01-24T23:16:58+09:00	2022-01-25T16:33:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	GU-26TQ-VQCD	B089WG52FC	Shipped	1	JPY	2380.0	216.0								愛知県	464-0831	JP	
503-0448901-4651809	503-0448901-4651809	2022-01-24T23:05:05+09:00	2022-01-25T06:25:26+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	91-6HG1-LVP0	B09838NFL3	Shipped	1	JPY	2380.0	216.0								神奈川県	255-0002	JP	
249-8088612-8044627	249-8088612-8044627	2022-01-24T22:28:49+09:00	2022-01-25T02:14:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	HM-5URZ-2K38	B07C7KGKBH	Shipped	1	JPY	698.0	63.0								茨城県	300-2655	JP	
